,ticker,class_code,figi,uid,type,min_price_increment,scale,lot,trading_status,api_trade_available_flag,currency,exchange,buy_available_flag,sell_available_flag,short_enabled_flag,klong,kshort
953,VERV,SPBXM,BBG00P33TCZ8,9e970275-1967-436b-a434-7c9c0e36a009,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
954,CLX,SPBXM,BBG000BFS7D3,27c45fca-6ca2-485a-bdb0-fdc990a0a923,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
955,BLKB,SPBXM,BBG000BGGTW5,7599c161-6a6d-4ea5-9ed7-49a2c6eb3aac,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
956,KRKNP,TQBR,BBG002B2J5X0,6891e539-6070-4ba6-99c0-7eb1df9c816e,shares,20.00000000,9,1,SECURITY_TRADING_STATUS_NORMAL_TRADING,True,rub,moex_extended,True,True,False,0E-8,0E-8
957,RXO,SPBXM,BBG0160DYCH4,1739bf91-8c2c-4d05-b940-af62626e58a9,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
958,CHMF,TQBR,BBG00475K6C3,fa6aae10-b8d5-48c8-bbfd-d320d925d096,shares,0.20000000,1,1,SECURITY_TRADING_STATUS_NORMAL_TRADING,True,rub,MOEX_DEALER_WEEKEND,True,True,True,2.00000000,2.00000000
959,TW,SPBXM,BBG00NK8H8T2,73ae976a-1495-4b1b-95d1-315bad4cde65,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
960,FLS,SPBXM,BBG000FFH4P5,06ad22f0-93e5-46ec-974b-e68fd7e28c54,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
961,TWLO,SPBXM,BBG0029ZX840,a0d3f5c1-3fee-4fc3-ba47-f4edb18858e0,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
962,CPS,SPBXM,BBG000PSXT64,6bf39162-3705-457d-bd82-b58c6f553cfb,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
963,VZIO,SPBXM,BBG00ZHDJVK4,b67249a0-b22f-421b-96f9-d6691c92e394,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_NOT_AVAILABLE_FOR_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
964,CLDT,SPBXM,BBG000PT6BR8,865d183d-f5be-4a59-93c8-565026d54eba,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
965,RLAY,SPBXM,BBG00DSS08K9,2adfa0e9-352a-4506-9862-c7d972b14680,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
966,LNTH,SPBXM,BBG006Q52RD0,9fd80d53-8649-4ddd-b6df-f468d18bc201,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
967,CYTK,SPBXM,BBG000F0R4N9,8da2e866-68a3-4bfb-bd5e-1dd57e76a5e2,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
968,VMEO,SPBXM,BBG00ZNSSKP3,8c06e5c2-3e27-4b24-bc39-1d065cc149fd,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
969,APA,SPBXM,BBG00YTS96G2,62582a1d-dd77-49bd-a987-492209b98593,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
970,SWX,SPBXM,BBG00FWP4JW4,fee48b9a-9fcd-4360-9922-ae5ac9bd68d1,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
971,SLDB,SPBXM,BBG00JN4FXG8,b9b687ff-2bad-4996-89c4-658dfa73f906,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
972,LPL,SPBXM,BBG000FJ0RK9,899e9f29-37fb-498d-b95a-4675903476af,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
973,CAG,SPBXM,BBG000BDXGP9,233111aa-3fd4-4158-8ec5-992d14433577,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
974,WW,SPBXM,BBG000DY6735,9a88a875-7dde-431a-ad1d-dc8ba3cf8a39,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
975,MLKN,SPBXM,BBG000BP46T2,3c901a56-5c9b-4257-9f09-fd038fb1d559,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
976,RVNC,SPBXM,BBG001J2MJH8,1c32eb53-ea05-478a-bda9-229efdb44665,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
977,RIO,SPBXM,BBG000FD28T3,34da26e7-f5b0-480d-aa76-d038bebb5cd7,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
978,MAR,SPBXM,BBG000BGD7W6,a92c574c-2a9b-4a6c-a4a5-dec9e629f3c3,shares,0.01000000,2,1,SECURITY_TRADING_STATUS_BREAK_IN_TRADING,True,usd,unknown,False,False,False,0E-8,0E-8
979,ENPG,TQBR,BBG000RMWQD4,e2bd2eba-75de-4127-b39c-2f2dbe3866c3,shares,0.05000000,2,1,SECURITY_TRADING_STATUS_NORMAL_TRADING,True,rub,MOEX_DEALER_WEEKEND,True,True,True,2.00000000,2.00000000
